similarity_computation,0:00:21.200413
clustering_0,0:00:00.023349
clustering_1,0:00:00.023139
clustering_2,0:00:00.022272
clustering_3,0:00:00.023164
clustering_4,0:00:00.022766
clustering_5,0:00:00.021588
clustering_6,0:00:00.021326
clustering_7,0:00:00.021286
clustering_8,0:00:00.021381
clustering_9,0:00:00.021454
clustering_10,0:00:00.022073
clustering_11,0:00:00.023735
clustering_12,0:00:00.022553
clustering_13,0:00:00.024514
clustering_14,0:00:00.023087
clustering_15,0:00:00.022375
clustering_16,0:00:00.024863
clustering_17,0:00:00.021982
clustering_18,0:00:00.021849
clustering_19,0:00:00.021245
clustering_20,0:00:00.021283
clustering_21,0:00:00.021282
clustering_22,0:00:00.022087
clustering_23,0:00:00.033185
clustering_24,0:00:00.021282
clustering_25,0:00:00.021191
clustering_26,0:00:00.020891
clustering_27,0:00:00.020803
clustering_28,0:00:00.020764
clustering_29,0:00:00.020804
clustering_30,0:00:00.020716
clustering_31,0:00:00.020799
clustering_32,0:00:00.020729
clustering_33,0:00:00.020809
clustering_34,0:00:00.020816
clustering_35,0:00:00.020774
clustering_36,0:00:00.021185
clustering_37,0:00:00.021248
clustering_38,0:00:00.021143
clustering_39,0:00:00.021471
clustering_40,0:00:00.021313
clustering_41,0:00:00.021514
clustering_42,0:00:00.021194
clustering_43,0:00:00.021152
clustering_44,0:00:00.021604
clustering_45,0:00:00.021603
clustering_46,0:00:00.021338
clustering_47,0:00:00.021452
clustering_48,0:00:00.021157
clustering_49,0:00:00.021300
clustering_50,0:00:00.021661
clustering_51,0:00:00.021015
clustering_52,0:00:00.021122
clustering_53,0:00:00.020839
clustering_54,0:00:00.020849
clustering_55,0:00:00.020885
clustering_56,0:00:00.021306
clustering_57,0:00:00.021014
clustering_58,0:00:00.020978
clustering_59,0:00:00.020938
clustering_60,0:00:00.021083
clustering_61,0:00:00.021546
clustering_62,0:00:00.021300
clustering_63,0:00:00.021297
clustering_64,0:00:00.020925
clustering_65,0:00:00.020851
clustering_66,0:00:00.020809
clustering_67,0:00:00.020886
clustering_68,0:00:00.020869
clustering_69,0:00:00.020859
clustering_70,0:00:00.020886
clustering_71,0:00:00.020838
clustering_72,0:00:00.020949
clustering_73,0:00:00.021170
clustering_74,0:00:00.021232
clustering_75,0:00:00.021137
clustering_76,0:00:00.021044
clustering_77,0:00:00.021162
clustering_78,0:00:00.020875
clustering_79,0:00:00.021203
clustering_80,0:00:00.021676
clustering_81,0:00:00.021311
clustering_82,0:00:00.021663
clustering_83,0:00:00.021296
clustering_84,0:00:00.021534
clustering_85,0:00:00.021458
clustering_86,0:00:00.021242
clustering_87,0:00:00.021286
clustering_88,0:00:00.021631
clustering_89,0:00:00.021747
clustering_90,0:00:00.021506
clustering_91,0:00:00.021571
clustering_92,0:00:00.021745
clustering_93,0:00:00.021563
clustering_94,0:00:00.021324
clustering_95,0:00:00.021266
clustering_96,0:00:00.021019
clustering_97,0:00:00.021297
clustering_98,0:00:00.021480
clustering_99,0:00:00.021121
clustering_100,0:00:00.021089
clustering_101,0:00:00.021394
clustering_102,0:00:00.021409
clustering_103,0:00:00.021244
clustering_104,0:00:00.021169
clustering_105,0:00:00.020922
clustering_106,0:00:00.021079
clustering_107,0:00:00.021103
clustering_108,0:00:00.021331
clustering_109,0:00:00.020937
clustering_110,0:00:00.020878
clustering_111,0:00:00.020864
clustering_112,0:00:00.020939
clustering_113,0:00:00.020865
clustering_114,0:00:00.020919
clustering_115,0:00:00.021162
clustering_116,0:00:00.020864
clustering_117,0:00:00.020995
clustering_118,0:00:00.021069
clustering_119,0:00:00.021042
clustering_120,0:00:00.021109
clustering_121,0:00:00.020897
clustering_122,0:00:00.020887
clustering_123,0:00:00.020977
clustering_124,0:00:00.021026
clustering_125,0:00:00.021143
clustering_126,0:00:00.021155
clustering_127,0:00:00.021008
clustering_128,0:00:00.020924
clustering_129,0:00:00.020941
clustering_130,0:00:00.021143
clustering_131,0:00:00.021308
clustering_132,0:00:00.021317
clustering_133,0:00:00.021138
clustering_134,0:00:00.021217
clustering_135,0:00:00.022435
clustering_136,0:00:00.021544
clustering_137,0:00:00.021346
clustering_138,0:00:00.021592
clustering_139,0:00:00.021108
clustering_140,0:00:00.021152
clustering_141,0:00:00.021155
clustering_142,0:00:00.021113
clustering_143,0:00:00.021034
clustering_144,0:00:00.020905
clustering_145,0:00:00.021038
clustering_146,0:00:00.021133
clustering_147,0:00:00.021120
clustering_148,0:00:00.021052
clustering_149,0:00:00.021238
correction,0:05:43.443907
total_time,0:06:07.923876
